序号,债券代码,债券名称,计息方式,债券面额（万元）,年利率(%)
1,1680051,16万宝开投债01,附息固定,"50,000.00",5.13%
2,1680065,16普湾债,附息固定,"280,000.00",4.50%
3,1880012,18吴中城建债,附息固定,"50,000.00",6.50%
4,1980043,19荆建投债,附息固定,"55,000.00",7.20%
5,2180014,21十堰聚鑫债01,附息固定,"100,000.00",4.95%
6,2180016,21东海城投债,附息固定,"80,000.00",5.29%
7,2180021,21海盐债01,附息固定,"80,000.00",4.89%
8,2180022,21洞头债01,附息固定,"50,000.00",5.05%
9,2180025,21杭城投债01,附息固定,"120,000.00",3.87%
10,2180029,21济轨绿债,附息固定,"300,000.00",4.35%
11,2180031,21鸠江建投债,附息固定,"90,000.00",4.95%
12,2180034,21麻城债,附息固定,"100,000.00",5.00%
13,2180017,21永州专项债01,附息固定,"80,000.00",6.50%
14,2180039,21陆嘴债01,附息固定,"200,000.00",3.78%
15,2180035,21科学城债,附息固定,"50,000.00",5.50%
16,1080023,10国网债02,附息固定,"1,000,000.00",4.80%
17,2180002,21攀国投,附息固定,"100,000.00",6.80%
18,2180003,21临川绿色债,附息固定,"50,000.00",6.80%
19,2180011,21江油创元债,附息固定,"50,000.00",7.00%
20,2180028,21安邦债,附息固定,"93,000.00",5.25%
21,2180033,21枝江债,附息固定,"30,000.00",5.95%
22,2180040,21宁海停车场专项债,附息固定,"100,000.00",4.93%
23,1824002,18泸州临港项目债01,附息固定,"28,000.00",7.10%
24,1880015,18泾县债,附息固定,"95,000.00",6.80%
25,1880018,18吉水管廊债01,附息固定,"66,000.00",6.80%
26,1880019,18京诚债,附息固定,"95,000.00",7.00%
27,1880017,18红果专项债,附息固定,"35,000.00",7.80%
28,1880020,18渝中专项债01,附息固定,"70,000.00",6.90%
29,2180050,21抚高新,附息固定,"100,000.00",6.50%
30,2180053,21桂阳城投01,附息固定,"36,000.00",6.30%
31,2180038,21蓉兴债01,附息固定,"250,000.00",4.39%
32,2180043,21赣铁航债01,附息固定,"200,000.00",4.29%
33,2180047,21富阳城投债01,附息固定,"250,000.00",4.50%
34,2280047,22安城债01,附息固定,"72,000.00",5.40%
35,1824003,18惠东房改项目NPB01,附息固定,"50,000.00",8.10%
36,1880021,18铜梁专项债,附息固定,"122,000.00",6.80%
37,1880022,18秭归养老债01,附息固定,"20,000.00",7.80%
38,1980042,19淮南城投债01,附息固定,"60,000.00",7.58%
39,1824005,18十堰停车场项目NPB,附息固定,"100,000.00",7.80%
40,1980045,19金霞经开债,附息固定,"80,000.00",7.00%
41,1980047,19资凯利债,附息固定,"75,000.00",8.00%
42,1980046,19苏海发债01,附息固定,"33,000.00",7.30%
43,068005,06大唐债,附息固定,"200,000.00",4.20%
44,1724001,17万盛管廊项目NPB01,附息固定,"60,000.00",6.60%
45,1780006,17龙湖绿色债02,附息固定,"144,000.00",3.48%
46,2280049,22句容城投债,附息固定,"42,000.00",3.82%
47,2280052,22丹阳高新债,附息固定,"20,000.00",3.95%
48,2280053,22扬中交投债,附息固定,"43,000.00",3.98%
49,2280054,22乌建发债01,附息固定,"80,000.00",5.50%
50,2280017,22温港城债,附息固定,"45,000.00",3.80%
51,2080022,20渤海国资债01,附息固定,"150,000.00",5.03%
52,2080023,20晋江开发绿色债,附息固定,"76,000.00",4.00%
53,1980048,19杨凌城投债01,附息固定,"30,000.00",7.80%
54,2280055,22宏利水务债,附息固定,"90,000.00",6.80%
55,2280058,22合川城投债,附息固定,"26,000.00",5.50%
56,2280059,22临空投债,附息固定,"57,000.00",4.07%
57,2280060,22黄冈白投债01,附息固定,"100,000.00",4.50%
58,1280018,12中石油04,附息固定,"1,000,000.00",5.00%
59,1980049,19深圳能源绿色债01,附息固定,"165,000.00",4.05%
60,2280063,22深铁绿色债01,附息固定,"100,000.00",2.70%
61,2280051,22东津小微债,附息固定,"70,000.00",3.91%
62,1880023,18仁怀水投债01,附息固定,"50,000.00",7.98%
63,2280062,22马高新绿色债,附息固定,"120,000.00",3.87%
64,2280064,22金投债01,附息固定,"50,000.00",3.35%
65,2280065,22遂柔刚债,附息固定,"79,000.00",7.80%
66,2080025,20芜湖战新债,附息固定,"77,000.00",3.79%
67,2280066,22简阳发展债,附息固定,"70,000.00",5.50%
68,2280067,22苏海发债01,附息固定,"87,000.00",3.85%
69,1380065,13津城投债,附息固定,"37,474.80",5.70%
70,1980050,19临川城投债01,附息固定,"110,000.00",8.00%
71,1980053,19桂铁投债01,附息固定,"200,000.00",4.78%
72,2180051,21嬴城债,附息固定,"30,000.00",6.00%
73,2180055,21嘉兴双创债01,附息固定,"60,000.00",4.92%
74,1380075,13中化股债01,附息固定,"600,000.00",4.98%
75,1380076,13中化股债02,附息固定,"300,000.00",5.15%
76,1980057,19弥勒农投债01,附息固定,"50,000.00",7.60%
77,1680040,16新密财源债,附息固定,"88,000.00",4.35%
78,1980052,19渝两江双创债01,附息固定,"160,000.00",4.28%
79,1980055,19首旅债01,附息固定,"120,000.00",3.22%
80,1980056,19首旅债02,附息固定,"80,000.00",4.39%
81,2080026,20首钢基金债01,附息固定,"50,000.00",3.27%
82,2280073,22桂阳城投01,附息固定,"34,700.00",6.00%
